"","Country","variable","Education","Code","value"
"362","BE","1999",1,"C",19.793407201767
"363","BE","1999",1,"D",42.6686227321625
"364","BE","1999",1,"E",17.9811097383499
"365","BE","1999",1,"F",9.03960958868265
"366","BE","1999",1,"G",20.567829310894
"367","BE","1999",1,"H",13.126487404108
"368","BE","1999",1,"I",9.0811085999012
"369","BE","1999",1,"J",57.9875864386559
"370","BE","1999",1,"K",56.7325277924538
"371","BE","1999",1,"L",37.7728042602539
"372","BE","1999",1,"M_N",44.0118645429611
"373","BE","1999",2,"B",37.2592307329178
"374","BE","1999",2,"C",41.6053642630577
"375","BE","1999",2,"D",40.708681344986
"376","BE","1999",2,"E",37.5528813004494
"377","BE","1999",2,"F",41.4531638026237
"378","BE","1999",2,"G",47.6483564376831
"379","BE","1999",2,"H",41.8886566758156
"380","BE","1999",2,"I",46.4039443731308
"381","BE","1999",2,"J",28.9595301151276
"382","BE","1999",2,"K",33.6757174730301
"383","BE","1999",2,"L",36.1458992958069
"384","BE","1999",2,"M_N",34.407968044281
"385","BE","1999",3,"B",47.3218879252672
"386","BE","1999",3,"C",38.6012262105942
"387","BE","1999",3,"D",16.6226963996887
"388","BE","1999",3,"E",44.4660046100616
"389","BE","1999",3,"F",49.5072277039289
"390","BE","1999",3,"G",31.7838118076324
"391","BE","1999",3,"H",44.9848566651344
"392","BE","1999",3,"I",44.5149450302124
"393","BE","1999",3,"J",13.0528843402863
"394","BE","1999",3,"K",9.59175685048103
"395","BE","1999",3,"L",26.0812963247299
"396","BE","1999",3,"M_N",21.5801680088043
"397","BE","2000",1,"B",15.748422652483
"398","BE","2000",1,"C",20.2842288911343
"399","BE","2000",1,"D",43.3308475613594
"400","BE","2000",1,"E",18.598867803812
"401","BE","2000",1,"F",9.31785727292299
"402","BE","2000",1,"G",21.0462480187416
"403","BE","2000",1,"H",13.2719832658768
"404","BE","2000",1,"I",9.43315944075584
"405","BE","2000",1,"J",59.6612804532051
"406","BE","2000",1,"K",58.1231672763824
"407","BE","2000",1,"L",37.1462026834488
"408","BE","2000",1,"M_N",44.5320824384689
"409","BE","2000",2,"B",37.8711354732513
"410","BE","2000",2,"C",42.3394275307655
"411","BE","2000",2,"D",40.4607081413269
"412","BE","2000",2,"E",38.1431058645248
"413","BE","2000",2,"F",42.1302085518837
"414","BE","2000",2,"G",47.859525680542
"415","BE","2000",2,"H",42.9360222220421
"416","BE","2000",2,"I",46.8061048984528
"417","BE","2000",2,"J",28.3990291953087
"418","BE","2000",2,"K",33.0374343395233
"419","BE","2000",2,"L",36.2950854301453
"420","BE","2000",2,"M_N",34.2795701026917
"421","BE","2000",3,"B",46.3804405033588
"422","BE","2000",3,"C",37.3763453960419
"423","BE","2000",3,"D",16.2084444314241
"424","BE","2000",3,"E",43.2580237984657
"425","BE","2000",3,"F",48.5519356131554
"426","BE","2000",3,"G",31.0942256450653
"427","BE","2000",3,"H",43.791995704174
"428","BE","2000",3,"I",43.7607350349426
"429","BE","2000",3,"J",11.9396959543228
"430","BE","2000",3,"K",8.83939996361732
"431","BE","2000",3,"L",26.5587158203125
"432","BE","2000",3,"M_N",21.1883490085602
"433","BE","2001",1,"B",16.5189648270607
"434","BE","2001",1,"C",20.9497572183609
"435","BE","2001",1,"D",44.8086027503014
"436","BE","2001",1,"E",19.4078949093819
"437","BE","2001",1,"F",9.82475923001766
"438","BE","2001",1,"G",21.5922197699547
"439","BE","2001",1,"H",13.6319136023521
"440","BE","2001",1,"I",9.66757959127426
"441","BE","2001",1,"J",60.9873559474945
"442","BE","2001",1,"K",59.0224177837372
"443","BE","2001",1,"L",37.4852249622345
"444","BE","2001",1,"M_N",45.5043931007385
"445","BE","2001",2,"B",38.6311656236649
"446","BE","2001",2,"C",42.8847309947014
"447","BE","2001",2,"D",39.9692167043686
"448","BE","2001",2,"E",38.7129893302917
"449","BE","2001",2,"F",43.0283069312572
"450","BE","2001",2,"G",48.0545678138733
"451","BE","2001",2,"H",43.9466155767441
"452","BE","2001",2,"I",46.5831458568573
"453","BE","2001",2,"J",27.9416995048523
"454","BE","2001",2,"K",32.6241482496262
"455","BE","2001",2,"L",36.3971247673035
"456","BE","2001",2,"M_N",34.0468987226486
"457","BE","2001",3,"B",44.8498696237803
"458","BE","2001",3,"C",36.1655099391937
"459","BE","2001",3,"D",15.2221823334694
"460","BE","2001",3,"E",41.87911683321
"461","BE","2001",3,"F",47.1469308286905
"462","BE","2001",3,"G",30.3532102108002
"463","BE","2001",3,"H",42.421473801136
"464","BE","2001",3,"I",43.7492771148682
"465","BE","2001",3,"J",11.0709417462349
"466","BE","2001",3,"K",8.35343530774117
"467","BE","2001",3,"L",26.117649435997
"468","BE","2001",3,"M_N",20.4487056732178
"469","BE","2002",1,"B",17.2034992873669
"470","BE","2002",1,"C",21.6238904297352
"471","BE","2002",1,"D",45.2187041044235
"472","BE","2002",1,"E",19.5757365226746
"473","BE","2002",1,"F",10.3064413368702
"474","BE","2002",1,"G",22.2380417585373
"475","BE","2002",1,"H",13.8854612112045
"476","BE","2002",1,"I",10.0515250563622
"477","BE","2002",1,"J",61.9951567649841
"478","BE","2002",1,"K",59.7997547388077
"479","BE","2002",1,"L",37.7220168113708
"480","BE","2002",1,"M_N",46.0719358921051
"481","BE","2002",2,"B",39.0917692184448
"482","BE","2002",2,"C",43.2315739989281
"483","BE","2002",2,"D",39.8695755004883
"484","BE","2002",2,"E",38.9978854060173
"485","BE","2002",2,"F",43.5923646092415
"486","BE","2002",2,"G",48.2125720977783
"487","BE","2002",2,"H",44.7705308198929
"488","BE","2002",2,"I",47.4690980911255
"489","BE","2002",2,"J",27.5639091730118
"490","BE","2002",2,"K",32.261214017868
"491","BE","2002",2,"L",36.4525244235992
"492","BE","2002",2,"M_N",33.9353348016739
"493","BE","2002",3,"B",43.7047319412231
"494","BE","2002",3,"C",35.1445365548134
"495","BE","2002",3,"D",14.9117228388786
"496","BE","2002",3,"E",41.4263745546341
"497","BE","2002",3,"F",46.1011937558651
"498","BE","2002",3,"G",29.5493847131729
"499","BE","2002",3,"H",41.3440107703209
"500","BE","2002",3,"I",42.4793796539307
"501","BE","2002",3,"J",10.4409318566322
"502","BE","2002",3,"K",7.93902769684792
"503","BE","2002",3,"L",25.8254626989365
"504","BE","2002",3,"M_N",19.9927287101746
"505","BE","2003",1,"B",17.7052255272865
"506","BE","2003",1,"C",22.216616243124
"507","BE","2003",1,"D",46.5236622691154
"508","BE","2003",1,"E",19.7405460476875
"509","BE","2003",1,"F",10.419761121273
"510","BE","2003",1,"G",22.7381756305695
"511","BE","2003",1,"H",14.4286721646786
"512","BE","2003",1,"I",10.3084650039673
"513","BE","2003",1,"J",62.8266904354095
"514","BE","2003",1,"K",60.7918035984039
"515","BE","2003",1,"L",37.5033597946167
"516","BE","2003",1,"M_N",46.7078144550323
"517","BE","2003",2,"B",39.8717096149921
"518","BE","2003",2,"C",43.7013043761253
"519","BE","2003",2,"D",39.4379677772522
"520","BE","2003",2,"E",39.5179805159569
"521","BE","2003",2,"F",44.2000110447407
"522","BE","2003",2,"G",48.4254884719849
"523","BE","2003",2,"H",45.359698176384
"524","BE","2003",2,"I",47.9241986274719
"525","BE","2003",2,"J",27.1782873868942
"526","BE","2003",2,"K",31.717126250267
"527","BE","2003",2,"L",36.60422706604
"528","BE","2003",2,"M_N",33.8023192882538
"529","BE","2003",3,"B",42.4230661541224
"530","BE","2003",3,"C",34.0820801258087
"531","BE","2003",3,"D",14.0383688807487
"532","BE","2003",3,"E",40.7414733767509
"533","BE","2003",3,"F",45.3802250400186
"534","BE","2003",3,"G",28.8363344669342
"535","BE","2003",3,"H",40.211624443531
"536","BE","2003",3,"I",41.7673330307007
"537","BE","2003",3,"J",9.99502614140511
"538","BE","2003",3,"K",7.49106995761395
"539","BE","2003",3,"L",25.8924098014832
"540","BE","2003",3,"M_N",19.4898680448532
"541","BE","2004",1,"B",17.6585067808628
"542","BE","2004",1,"C",22.5429968237877
"543","BE","2004",1,"D",47.9112037420273
"544","BE","2004",1,"E",20.148108959198
"545","BE","2004",1,"F",10.6669260710478
"546","BE","2004",1,"G",23.4002169370651
"547","BE","2004",1,"H",14.9220205843449
"548","BE","2004",1,"I",10.6900545358658
"549","BE","2004",1,"J",63.8863306045532
"550","BE","2004",1,"K",61.6706916093826
"551","BE","2004",1,"L",37.7817299365997
"552","BE","2004",1,"M_N",45.3706566095352
"553","BE","2004",2,"B",40.6057315468788
"554","BE","2004",2,"C",44.3529925346375
"555","BE","2004",2,"D",38.9184530973434
"556","BE","2004",2,"E",39.9071844220161
"557","BE","2004",2,"F",45.1590871810913
"558","BE","2004",2,"G",48.6396267414093
"559","BE","2004",2,"H",45.9624656438828
"560","BE","2004",2,"I",48.4648959636688
"561","BE","2004",2,"J",26.6789013147354
"562","BE","2004",2,"K",31.1999433040619
"563","BE","2004",2,"L",36.749041557312
"564","BE","2004",2,"M_N",34.7574423551559
"565","BE","2004",3,"B",41.7357619702816
"566","BE","2004",3,"C",33.1040067672729
"567","BE","2004",3,"D",13.170342952013
"568","BE","2004",3,"E",39.9447019696236
"569","BE","2004",3,"F",44.1739825680852
"570","BE","2004",3,"G",27.9601544141769
"571","BE","2004",3,"H",39.1155123412609
"572","BE","2004",3,"I",40.845047712326
"573","BE","2004",3,"J",9.43477329611778
"574","BE","2004",3,"K",7.12936709821224
"575","BE","2004",3,"L",25.4692252874374
"576","BE","2004",3,"M_N",19.8718996047974
"577","BE","2005",1,"B",18.3277340233326
"578","BE","2005",1,"C",23.1040135025978
"579","BE","2005",1,"D",48.8746977448463
"580","BE","2005",1,"E",20.5578062534332
"581","BE","2005",1,"F",10.984122350812
"582","BE","2005",1,"G",23.9922637939453
"583","BE","2005",1,"H",16.3330129981041
"584","BE","2005",1,"I",10.9953272938728
"585","BE","2005",1,"J",64.5023258924484
"586","BE","2005",1,"K",62.6981990337372
"587","BE","2005",1,"L",38.8706345558167
"588","BE","2005",1,"M_N",45.7934622764587
"589","BE","2005",2,"B",41.1837583780289
"590","BE","2005",2,"C",44.855589389801
"591","BE","2005",2,"D",38.502350628376
"592","BE","2005",2,"E",40.395924448967
"593","BE","2005",2,"F",45.935644030571
"594","BE","2005",2,"G",48.7984175682068
"595","BE","2005",2,"H",45.8435497283936
"596","BE","2005",2,"I",48.6324486732483
"597","BE","2005",2,"J",26.436406493187
"598","BE","2005",2,"K",30.5753746032715
"599","BE","2005",2,"L",36.6587774753571
"600","BE","2005",2,"M_N",34.6545952558517
"601","BE","2005",3,"B",40.4885062128305
"602","BE","2005",3,"C",32.0403967499733
"603","BE","2005",3,"D",12.6229523718357
"604","BE","2005",3,"E",39.0462699532509
"605","BE","2005",3,"F",43.0802350491285
"606","BE","2005",3,"G",27.2093213796616
"607","BE","2005",3,"H",37.823441952467
"608","BE","2005",3,"I",40.372222661972
"609","BE","2005",3,"J",9.0612635910511
"610","BE","2005",3,"K",6.72642369568348
"611","BE","2005",3,"L",24.47059071064
"612","BE","2005",3,"M_N",19.551944732666
"613","BE","2006",1,"B",19.0179591178894
"614","BE","2006",1,"C",23.6416953802109
"615","BE","2006",1,"D",50.0441980361938
"616","BE","2006",1,"E",20.9112293124199
"617","BE","2006",1,"F",11.2901252061129
"618","BE","2006",1,"G",24.6420503854752
"619","BE","2006",1,"H",17.2266364693642
"620","BE","2006",1,"I",11.3823670744896
"621","BE","2006",1,"J",65.4298441410065
"622","BE","2006",1,"K",63.7926847934723
"623","BE","2006",1,"L",43.3010058403015
"624","BE","2006",1,"M_N",45.7364027500153
"625","BE","2006",2,"B",41.7761182785034
"626","BE","2006",2,"C",45.3860315084457
"627","BE","2006",2,"D",37.9922978281975
"628","BE","2006",2,"E",40.9282518625259
"629","BE","2006",2,"F",46.949840426445
"630","BE","2006",2,"G",48.9384436607361
